No. ,Molecule name,ET1,"ET1,A_L_new","ET1,D_new","ET1,A_R_new"
33,MO-IDIC-2F-2V5,1.2971,2.0553,-2.8304,2.0553
34,IDT6CN-M-1V4,1.2966,2.0549,-2.8306,2.0549
35,oF-ITIC,1.2955,2.0526,-2.8097,2.0526
36,IT-DM,1.2917,2.0611,-2.8305,2.0611
37,IT-M-2V5,1.2892,2.06,-2.8305,2.06
38,a-IT-2OM,1.289,2.0526,-2.8305,2.0412
39,ITIC-Th2F-2V5,1.289,2.0553,-2.8211,2.0553
40,NOIC4,1.2885,2.0476,-2.8185,2.0476
41,MO-IDIC,1.2879,2.0526,-2.8304,2.0526
42,IDTCN,1.2875,1.9717,-2.7884,1.9717
43,IDT8CN-M-2V5,1.2867,2.06,-2.8326,2.06
44,ITCF,1.2853,2.0576,-2.8305,2.0576
45,ITIC-Th,1.2842,2.0526,-2.8211,2.0526
46,IDIC-2F-1V4,1.284,2.0421,-2.8002,2.0421
47,MOIT-M-2V5,1.2833,2.06,-2.837,2.06
48,IDTT-OB-2V5,1.2832,2.06,-2.8373,2.06
49,sp-mOEh-ITIC-M-2V5,1.2815,2.06,-2.8181,2.06
50,FpO-ITIC,1.2807,2.0526,-2.8291,2.0526
51,ITIC-2F-2V5,1.2797,2.0553,-2.8305,2.0553
52,m-ITIC-2F-2V5,1.2796,2.0553,-2.8312,2.0553
53,ITIC6-2F-2V5,1.2795,2.0553,-2.8313,2.0553
54,IT-M-1V4,1.2791,2.0549,-2.8305,2.0549
55,ITIC-OE,1.2788,2.0526,-2.8264,2.0526
56,NOIC2,1.2788,2.0476,-2.8373,2.0476
57,m-ITIC-O-EH,1.2786,2.0526,-2.8382,2.0526
58,ZITI-1V4,1.2784,2.0421,-2.8304,2.0421
59,IDT6CN-Th,1.2778,1.9717,-2.8204,1.9717
60,IDT8CN-M-1V4,1.277,2.0549,-2.8326,2.0549
61,FINIC,1.2768,-2.5741,-2.8147,2.0476
62,eC9-2Cl-2V5,1.2762,2.0797,-2.8167,2.0797
63,ITEN-2V5,1.2748,1.9558,-2.8305,1.9558
64,ITIC,1.2747,2.0526,-2.8305,2.0526
65,Y6,1.2745,2.0476,-2.8207,2.0476
66,ITzN-F4,1.2742,2.0953,-2.8309,2.0953
67,m-ITIC,1.2741,2.0526,-2.8312,2.0526
68,IDTT-OB-1V4,1.2731,2.0549,-2.8373,2.0549
69,ITIC6-IC,1.273,2.0526,-2.8313,2.0526
70,MOIT-M-1V4,1.2729,2.0549,-2.837,2.0549
71,POIT-M-2V5,1.2721,2.06,-2.8473,2.06
72,drect-ITIC-2F-2V5,1.2715,2.0553,-2.842,2.0553
73,INIC2-2V5,1.2712,2.0553,-2.8364,2.0553
74,sp-mOEh-ITIC-M-1V4,1.2711,2.0549,-2.8181,2.0549
75,ITIC-3F-2,1.271,2.0386,-2.8305,2.0476
76,ITIC-S,1.2703,2.0526,-2.8392,2.0526
77,C8-ITIC,1.269,2.0526,-2.8311,2.0526
78,INIC,1.2688,2.0526,-2.8364,2.0526
79,mO-ITIC,1.2682,2.0526,-2.837,2.0526
80,ITEN-1V4,1.268,2.0487,-2.8305,2.0487
81,MO-IDIC-Cl-2 ,1.268,2.0413,-2.8304,2.0413
82,a-ITIC-2F,1.2679,2.0526,-2.8305,2.0467
83,ITIC-OEG,1.2677,2.0526,-2.8375,2.0526
